epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3674.67,0.92455,0.55287,1.14018,0.7522,0.78159,0.84045,0.62492,1.03553,0.59724,1.28252,0.0094786,0.0094786,0.0094786
81,3720.38,0.9203,0.55447,1.13447,0.81306,0.74474,0.8471,0.62901,1.04347,0.59118,1.29189,0.009472,0.009472,0.009472
82,3766.13,0.91796,0.55108,1.13518,0.79334,0.77713,0.85451,0.63146,1.0363,0.58669,1.28304,0.0094654,0.0094654,0.0094654
83,3811.85,0.92298,0.55102,1.13979,0.77705,0.77534,0.83578,0.61596,1.03632,0.60031,1.28072,0.0094588,0.0094588,0.0094588
84,3857.5,0.91193,0.54313,1.12903,0.7978,0.78648,0.85634,0.63471,1.03812,0.58925,1.28052,0.0094522,0.0094522,0.0094522
85,3903.44,0.9139,0.54052,1.12958,0.78552,0.77533,0.85047,0.63319,1.01883,0.58565,1.26491,0.0094456,0.0094456,0.0094456
86,3949.12,0.90797,0.54071,1.12497,0.76862,0.81416,0.85517,0.63953,1.03055,0.57535,1.27623,0.009439,0.009439,0.009439
87,3994.94,0.91421,0.53819,1.13115,0.77109,0.80413,0.86032,0.63621,1.03189,0.57882,1.28418,0.0094324,0.0094324,0.0094324
88,4040.62,0.90227,0.5372,1.13276,0.80059,0.77403,0.85248,0.63601,1.0209,0.58178,1.27661,0.0094258,0.0094258,0.0094258
89,4086.23,0.8992,0.52778,1.12455,0.77995,0.77045,0.84723,0.63039,1.02143,0.58975,1.27416,0.0094192,0.0094192,0.0094192
90,4131.86,0.89522,0.53181,1.12608,0.75369,0.80581,0.85096,0.63426,1.03042,0.58168,1.2783,0.0094126,0.0094126,0.0094126
91,4177.48,0.89052,0.53057,1.11734,0.83451,0.75121,0.85746,0.63559,1.0279,0.5799,1.27933,0.009406,0.009406,0.009406
92,4223.29,0.89721,0.53312,1.1207,0.7825,0.75329,0.84236,0.62589,1.02689,0.59322,1.28161,0.0093994,0.0093994,0.0093994
93,4268.79,0.90128,0.5322,1.12358,0.81141,0.76421,0.84818,0.63891,1.02167,0.57899,1.27498,0.0093928,0.0093928,0.0093928
94,4314.39,0.8878,0.53315,1.11832,0.81088,0.77328,0.87088,0.65497,1.0167,0.55934,1.27684,0.0093862,0.0093862,0.0093862
95,4360.11,0.89382,0.52121,1.11715,0.82697,0.77411,0.86801,0.64532,1.02537,0.56778,1.28546,0.0093796,0.0093796,0.0093796
96,4405.72,0.88452,0.51993,1.12054,0.82096,0.77796,0.86911,0.64715,1.02133,0.56548,1.28101,0.009373,0.009373,0.009373
97,4451.4,0.88386,0.52074,1.11858,0.81007,0.77647,0.85647,0.6377,1.02904,0.5718,1.28036,0.0093664,0.0093664,0.0093664
98,4497.08,0.87956,0.51779,1.12194,0.82444,0.76747,0.86257,0.64751,1.02371,0.5625,1.27879,0.0093598,0.0093598,0.0093598
99,4542.63,0.88362,0.51883,1.11575,0.81767,0.77938,0.8575,0.64237,1.01935,0.56839,1.27392,0.0093532,0.0093532,0.0093532
100,4588.25,0.8835,0.51069,1.10728,0.80365,0.79454,0.86538,0.65063,1.01547,0.56378,1.27269,0.0093466,0.0093466,0.0093466
101,4633.88,0.87195,0.5132,1.11016,0.79753,0.78313,0.85761,0.63988,1.01602,0.56611,1.27065,0.00934,0.00934,0.00934
102,4679.55,0.8785,0.51012,1.11779,0.79836,0.8188,0.8688,0.65189,1.01418,0.54975,1.26952,0.0093334,0.0093334,0.0093334
103,4725.19,0.87668,0.51414,1.10864,0.78909,0.795,0.86176,0.64884,1.01973,0.56574,1.27609,0.0093268,0.0093268,0.0093268
104,4770.94,0.87361,0.50717,1.10086,0.78432,0.79902,0.85908,0.6428,1.01917,0.56215,1.27526,0.0093202,0.0093202,0.0093202
105,4816.66,0.86806,0.50897,1.10739,0.81499,0.77818,0.86243,0.65246,1.01562,0.56439,1.2728,0.0093136,0.0093136,0.0093136
106,4862.3,0.86026,0.50345,1.10068,0.82159,0.77852,0.86862,0.65035,1.01631,0.55817,1.28199,0.009307,0.009307,0.009307
107,4908.05,0.86937,0.50828,1.10756,0.80885,0.792,0.86565,0.65007,1.0112,0.55925,1.26868,0.0093004,0.0093004,0.0093004
108,4953.68,0.86861,0.50654,1.11049,0.83316,0.77646,0.86834,0.65279,1.0147,0.55841,1.26707,0.0092938,0.0092938,0.0092938
109,4999.32,0.86344,0.49902,1.09954,0.78363,0.81235,0.8639,0.6473,1.01569,0.55766,1.2734,0.0092872,0.0092872,0.0092872
110,5045,0.86234,0.5019,1.10035,0.78035,0.82318,0.87053,0.65471,1.01103,0.54857,1.27215,0.0092806,0.0092806,0.0092806
